year,Brand,Car_Price,Location,Mileage,Type
1999,كيا شوما 1999,"EGP 250,000","Abu Swear, Ismailia•",370000 km,Benzine
1994,هيونداي إكسيل 1994,"EGP 140,000","Maadi, Cairo•",1 km,Benzine
2012,سيتروين جراند بيكاسو2012 - فابريكة بالكامل - اول مالك,"EGP 700,000","Beverly Hills Compound, Sheikh Zayed•",170000 km,Benzine
2011,Hyundai Getz 2011,"EGP 515,000","6th of October, Giza•",109000 km,Benzine
2021,سكودا أوكتافيا 2021,"EGP 1,400,000","Casa Compound, Sheikh Zayed•",100000 km,Benzine
2013,سوزوكي فان 2013,"EGP 210,000","Mandara, Alexandria•",144 km,Benzine
2020,كيا سبورتاج 2020,"EGP 1,570,000","Tanta, Gharbia•",74000 km,Benzine
2024,Mercedes Benz C180 2024 سعر لقطة مرسيدس,"EGP 3,100,000","Rehab City Compound, New Cairo•",19 km,Benzine
2008,نيسان صني 2008,"EGP 415,000","Mokattam, Cairo•",330000 km,Benzine
1995,Fiat Shahin 1995 - فيات شاهين,"EGP 95,000","Ain Shams, Cairo•",250000 km,Benzine
2011,باسات,"EGP 700,000","Haram, Giza•",161000 km,Benzine
2010,اسبرانزا a620 لقطة فبريكه بالكامل,"EGP 230,000","Hadayek al-Kobba, Cairo•",198000 km,Benzine
2016,هيونداي اى اكس  35 موديل   2016 أعلى فئة  Top Line,"EGP 1,080,000","New Cairo, Cairo•",128000 km,Benzine
2025,Mercedes-Benz E200 2025,"EGP 5,700,000","New Cairo, Cairo•",New,Benzine
2021,سكودا كودياك 2021 Skoda Kodiaq 2021,"EGP 1,680,000","New Cairo, Cairo•",195000 km,Benzine
2000,دايو لانوس 2000,"EGP 200,000","Haram, Giza•",400 km,Benzine
2021,جاكوار إكس إى 2021,"EGP 2,850,000","Sheikh Zayed, Giza•",60000 km,Benzine
2008,Toyota Corolla 2008,"EGP 445,000","Sheikh Zayed, Giza•",263000 km,Benzine
2024,شانجان CS55 PLUS بأقل مقدم و أطول فترة سداد مع ابوحته مصر,"EGP 1,300,000","Heliopolis, Cairo•",New,Benzine
2024,Range Rover Velar P250 R Dynamic SE 2024,"EGP 5,600,000","New Cairo, Cairo•",New,Benzine
2025,استلام فوري مع الشاذلي 2025 RANGE ROVER VOGUE SV 2025,"EGP 5,500,000","5th Settlement, New Cairo•",New,Benzine
2022,لاند روفر فيلار 2022 RANGE ROVER -  VELAR  R  DYNAMIC  -   2022  B 250,"EGP 5,100,000","Madinaty, Cairo•",25000 km,Benzine
2025,Mercedes-Benz EQA 260 2025 FWD,"EGP 2,025,000","Cleopatra, Alexandria•",New,Electric
2019,Jeep Renegade 2019,"EGP 980,000","Sheikh Zayed, Giza•",121000 km,Benzine
2026,دايو نوبيرا 2026 2007,"EGP 250,000","Agami, Alexandria•",130000 km,Benzine
1992,Toyota Corolla 1992,"EGP 230,000","1st Settlement, New Cairo•",315000 km,Benzine
2019,Renault Duster 2019,"EGP 660,000","Zahraa Al Maadi, Cairo•",160000 km,Benzine
1996,كيا برايد 1996,"EGP 125,000","Faisal District, Suez•",250000 km,Benzine
2011,Hyundai Matrix 2011,"EGP 650,000","Bahray - Anfoshy, Alexandria•",200000 km,Benzine
2022,Volkswagen Tiguan 2022,"EGP 2,080,000","New Cairo, Cairo•",65000 km,Benzine
2006,Renault Megane 2006,"EGP 300,000","Nasr City, Cairo•",200000 km,Benzine
2023,مرسيدس بنز اي 200 2023 Mercedes E200 2023 Exclusive,"EGP 3,675,000","Sheikh Zayed, Giza•",60000 km,Benzine
2025,ميني جون كوبر وركس 2025 John Cooper Works,"EGP 2,650,000","Smoha, Alexandria•",10 km,Benzine
2013,كيا ريو 2013 تاني فئه Kia Rio,"EGP 610,000","New Cairo, Cairo•",110000 km,Benzine
2008,شيفروليه اوبترا 2008,"EGP 365,000","Khosous, Qalyubia•",243000 km,Benzine
2013,Subaru Impreza 2013- great condition,"EGP 650,000","Shorouk City, Cairo•",308000 km,Benzine
2022,E200 amg 2022,"EGP 3,350,000","Sheikh Zayed, Giza•",80000 km,Benzine
2013,سبيرانزا إيه 113 2013,"EGP 270,000","Imbaba, Giza•",163 km,Benzine
2024,شيرى تيجو 8 برو 2024 الفئة الثانية LUXURY,"EGP 1,500,000","Sidi Beshr, Alexandria•",20000 km,Benzine
2014,جيب جراند شيروكى 2014,"EGP 1,900,000","Heliopolis, Cairo•",175000 km,Benzine
2019,رينو داستر 2019,"EGP 735,000","Degla, Maadi•",102000 km,Benzine
2013,بيجو 508 اعلي فئه فابؤيكه,"EGP 630,000","New Cairo, Cairo•",170000 km,Benzine
2007,Speranza A113 2007,"EGP 190,000","Nasr City, Cairo•",60000 km,Benzine
